ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Product: ID,Product: Handle,Product: Position,Product: Command,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: nogin.element_data [json],Metafield: nogin.layout [single_line_text_field],Metafield: custom.seo_description [rich_text_field],Metafield: ss_explosion [single_line_text_field],Metafield: plp.title [multi_line_text_field],Metafield: collection.banner_mobile [single_line_text_field],Metafield: collection.banner [single_line_text_field],Metafield: description_tag [multi_line_text_field],Metafield: title_tag [multi_line_text_field],Metafield: gendered_collection [string],Metafield: shogun.above [string],Metafield: shogun.below [string]
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,205,,8284514091096,pinnacle-soft-flask-insulated-handheld-18oz,6,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,206,,8273246486616,pinnacle-soft-flask-handheld-14oz,7,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,207,,7433406152792,trailmix-plus-3-0-hydration-belt,8,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,208,,7433406513240,trailmix-plus-3-0-insulated-hydration-belt,9,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,209,,7433403138136,hypernight-quickstart-2-0-4-liter-hydration-pack,10,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,210,,7433417130072,peak-hydration-waist-pack,11,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,211,,7433417097304,peak-lite-hydration-waist-pack,12,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,212,,7433420603480,swift-plus-hydration-belt-10oz,13,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,213,,7433412345944,exodraw-2-0-handheld-18oz,14,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,214,,7433412771928,exoshot-2-0-handheld-14oz,15,MERGE,,,,,,,,,,,,,,
